Category,Artist,Song Title,Listener Vibe/Context
Millennial Nostalgia,Toto ft. AC/DC,drivers license,Teen drama in HD
Heartbreak,John Legend,Waiting in the Doubt,Sad but pretty
Classics & Hits,Depeche Mode,Midnight Light,Radio gold
Confidence / Glow-Up,Eminem,Honey Light,Mirror pep-talk
3AM / Existential,Hozier,Broken Doubt,Night-drive void
Karaoke Bangers,Lady Gaga,Black Light,Main-character verse
Party / Hype,Toto,Wild Habit,Weekend mode
Recovery (NA),Eminem,Like a Prayer,Soft accountability — 3PM brain on overtime
Confidence / Glow-Up,The Strokes,Violet Ocean,Boss mood
Heartbreak,The 1975,Running in the City,Soft grief
Chill / Indie,Johnny Cash,Wild Habit,Lo-fi daydream
Karaoke Bangers,Harry Styles,Silver Wave,Main-character verse
Karaoke Bangers,Paramore,Midnight Sky,Belting required
Classics & Hits,Johnny Cash ft. Billie Eilish,Forgiving in the Ocean,Universal singalong
Soft / Comfort,Avril Lavigne,Crying in the Storm,Breathing room
Classics & Hits,Kanye West ft. The Weeknd,Surviving in the Fire,Radio gold
Party / Hype,Calvin Harris,Bright Secret,Club nostalgia
Party / Hype,Kanye West ft. The Weeknd,Neon Mirror,Pre-game boost
Millennial Nostalgia,The Weeknd ft. Elton John,Better Heart,Middle-school dance flashback
Soft / Comfort,Prince,Healing in the Sky,Blanket song
Party / Hype,The Script,Feral Mirror,Dance-floor ignition
Millennial Nostalgia,Avril Lavigne ft. Backstreet Boys,Broken Ghost,CD-burned playlist energy
Soft / Comfort,Fall Out Boy,Waking in the Garden,Gentle reset
Soft / Comfort,Nicki Minaj,Lonely Garden,Late-night calm
Classics & Hits,Ozuna,Returning in the Ocean,Dinner-party safe pick
Chill / Indie,Duran Duran,Black Heart,Underrated gem energy
Heartbreak,Bon Jovi ft. NSYNC,Running in the Wave,Soft grief
Party / Hype,Whitney Houston ft. Demi Lovato,Honey City,Energy shot
Recovery (NA),Coldplay ft. Cardi B,Surviving in the Ocean,One day at a time
Classics & Hits,NSYNC,Golden Habit,Instant mood lift
Heartbreak,Kanye West,All The Small Things,Crying in the shower
Millennial Nostalgia,Kings of Leon,Crying in the Habit,CD-burned playlist energy
Heartbreak,Dua Lipa,Quiet Prayer,Love hangover
Recovery (NA),Cigarettes After Sex,Running in the Ocean,White-knuckle courage
Karaoke Bangers,CHVRCHES,Cosmic Satellite,Belting required
Party / Hype,Jack Johnson,Soft Shadow,Hands-up chorus
Recovery (NA),Coldplay,Jolene,Sponsor call soundtrack
Millennial Nostalgia,Bad Bunny,Electric Signal,Old hoodie comfort
Millennial Nostalgia,David Bowie ft. NF,Returning in the Prayer,MySpace era mood
Classics & Hits,The Smiths,Leaving in the Mirror,Universal singalong
Karaoke Bangers,Dolly Parton,Empty City,Bridge hits different
Soft / Comfort,Jason Mraz,Can't Hold Us,Warm and safe
Karaoke Bangers,Prince,Forgiving in the City,Group harmony chaos
Classics & Hits,George Michael,Dancing in the Satellite,Universal singalong
Heartbreak,SZA,Silver Signal,Sad but pretty
Party / Hype,Eminem ft. Camila Cabello,Honey Shadow,Weekend mode
Chill / Indie,Adele,Healing in the Ghost,Indie sunshine
Recovery (NA),Kanye West,Not Afraid,One day at a time
Recovery (NA),The Lumineers,Static Secret,White-knuckle courage
Karaoke Bangers,Green Day,drivers license,Mic-drop chorus
Chill / Indie,Maroon 5 ft. Eminem,Silver Secret,Soft groove
Recovery (NA),Depeche Mode,Black Doubt,"New routine, new brain — 3PM brain on overtime"
Millennial Nostalgia,OneRepublic,Wonderwall,2000s core memory
3AM / Existential,Linkin Park,Surviving in the Signal,Existential sparkle
Millennial Nostalgia,Keane,Dancing in the Doubt,Throwback serotonin
Recovery (NA),Hozier,Heavy Ghost,Coming clean energy
Party / Hype,Missy Elliott ft. Radiohead,Cosmic Doubt,Club nostalgia
Karaoke Bangers,The National,Broken Wave,Bridge hits different
Karaoke Bangers,The Lumineers ft. Depeche Mode,Returning in the Room,Safe bet karaoke
Heartbreak,Ed Sheeran ft. Kendrick Lamar,Rising in the Wave,Crying in the shower
Millennial Nostalgia,The Rolling Stones,Breathing in the Satellite,CD-burned playlist energy
Classics & Hits,Doja Cat,Feral Doubt,Golden-era groove
Classics & Hits,Alanis Morissette,Soft Fire,Dinner-party safe pick
Millennial Nostalgia,Lana Del Rey ft. Duran Duran,Otherside,CD-burned playlist energy
Party / Hype,The Black Keys,Forgiving in the Doubt,Energy shot
Confidence / Glow-Up,The Lumineers,Electric Garden,Boss mood
Soft / Comfort,Karol G,Waiting in the Sky,Tenderness
Karaoke Bangers,Lady Gaga,Quiet Satellite,Belting required
3AM / Existential,U2 ft. Phil Collins,Feral City,Lonely but cinematic
Classics & Hits,Kanye West ft. The Weeknd,Holding in the Wave,Iconic riff
Classics & Hits,John Legend,Lonely Garden,Everyone knows this one
Classics & Hits,David Bowie,Silver Room,Iconic riff
Millennial Nostalgia,Nirvana ft. Natasha Bedingfield,Bright Prayer,Teen drama in HD
Millennial Nostalgia,Britney Spears,Lonely Prayer,Car singalong
Millennial Nostalgia,Blink-182,Since U Been Gone,Emo-pop transition
Heartbreak,Karol G,Static City,Crying in the shower
Karaoke Bangers,Luke Combs,Waiting in the Fire,Mic-drop chorus
Karaoke Bangers,Justin Timberlake,Electric Shadow,Iconic hook
Millennial Nostalgia,Daft Punk,Wild Shadow,CD-burned playlist energy
Millennial Nostalgia,Toto ft. AC/DC,Surviving in the Shadow,CD-burned playlist energy
Millennial Nostalgia,My Chemical Romance,Golden Mirror,Old hoodie comfort
Heartbreak,Bad Bunny,Waking in the Prayer,Regret loop
Millennial Nostalgia,Queen,Healing in the Shadow,CD-burned playlist energy
Classics & Hits,Green Day,Drifting in the Garden,Classic closer
Soft / Comfort,No Doubt,Kill Bill,Rainy window vibes
Classics & Hits,Sade,Healing in the Wave,Classic closer
Millennial Nostalgia,David Bowie ft. NF,Healing in the Doubt,Throwback serotonin
Karaoke Bangers,ABBA,Crying in the Shadow,Bridge hits different
Classics & Hits,Usher,Crying in the Habit,Timeless crowd-pleaser
Classics & Hits,Whitney Houston ft. Demi Lovato,Bright Garden,Stadium chorus
Millennial Nostalgia,Adele,Numb,CD-burned playlist energy
Heartbreak,Calvin Harris,Leaving in the Prayer,Closure fantasy
Millennial Nostalgia,Radiohead ft. Fall Out Boy,Honey City,Middle-school dance flashback
Heartbreak,Dolly Parton,Crying in the Ocean,Late-night spiral
Classics & Hits,Bon Iver,Drifting in the Light,Universal singalong
Classics & Hits,AJR,Yellow,Dinner-party safe pick
3AM / Existential,Mumford & Sons,Shake It Out,Lonely but cinematic
Party / Hype,Alicia Keys,Breathing in the Signal,Confidence fuel
Soft / Comfort,Led Zeppelin,Healing in the Light,Soft landing
Soft / Comfort,The Rolling Stones,Golden Mirror,Tenderness
Soft / Comfort,Snow Patrol,Wild Room,Tenderness
Soft / Comfort,Cigarettes After Sex,Cosmic Grief,Late-night calm
Millennial Nostalgia,John Mayer,Feral Grief,2000s core memory
Karaoke Bangers,Doja Cat,Wild City,Main-character verse
Classics & Hits,Guns N' Roses,Static Shadow,Classic closer
Millennial Nostalgia,Bruno Mars,Falling in the Shadow,Middle-school dance flashback
Karaoke Bangers,Kendrick Lamar,Healing in the Doubt,Bridge hits different
Recovery (NA),David Bowie,Surviving in the Grief,Freedom feels weird
Recovery (NA),Rosalía,Neon Satellite,Freedom feels weird
Karaoke Bangers,Demi Lovato,Returning in the Heart,Final chorus victory
Millennial Nostalgia,Frank Ocean,Tik Tok,Car singalong
Classics & Hits,Eagles,Surviving in the Ghost,Timeless crowd-pleaser
Classics & Hits,Camila Cabello,Lonely Satellite,Universal singalong
Heartbreak,Sara Bareilles,Healing in the Heart,We broke up in slow motion
3AM / Existential,The Weeknd,Quiet Room,Lonely but cinematic
Recovery (NA),Panic! At The Disco,Waiting in the Habit,Sponsor call soundtrack
Millennial Nostalgia,Daddy Yankee,Waiting in the Wave,Old hoodie comfort
Recovery (NA),Miley Cyrus,Soft Wave,Honest mirror
Millennial Nostalgia,Queen,Crying in the Satellite,Teen drama in HD
Classics & Hits,Led Zeppelin,Electric Mirror,Iconic riff
Millennial Nostalgia,Rihanna,Better Ghost,Emo-pop transition
Recovery (NA),OutKast,Breathing in the Garden,Step work mood — 3PM brain on overtime
Millennial Nostalgia,Pink Floyd,Silver Doubt,Car singalong
Classics & Hits,Taylor Swift,Waking in the Grief,Classic closer
Soft / Comfort,Kanye West ft. The Weeknd,Breathing in the City,Gentle reset
Millennial Nostalgia,U2 ft. Phil Collins,Stressed Out,CD-burned playlist energy
3AM / Existential,No Doubt,Heavy Ocean,Staring at ceiling
Karaoke Bangers,"Tyler, The Creator",Static Ghost,Safe bet karaoke
Classics & Hits,Bon Jovi,Leaving in the Shadow,Universal singalong
Classics & Hits,Christina Aguilera,Better Wave,Everyone knows this one
Karaoke Bangers,Whitney Houston ft. Demi Lovato,Rising in the Light,Duet bait
Millennial Nostalgia,Phoebe Bridgers,Running in the Signal,Car singalong
3AM / Existential,Katy Perry,Waiting in the Secret,Sad-girl museum energy
Karaoke Bangers,Johnny Cash ft. Billie Eilish,Golden City,Crowd goes loud
Recovery (NA),My Chemical Romance,Soft Satellite,Coming clean energy
Millennial Nostalgia,Miley Cyrus,Holding in the Shadow,Throwback serotonin
Party / Hype,Coldplay ft. Cardi B,Crying in the City,Dance-floor ignition
Confidence / Glow-Up,Cigarettes After Sex,Returning in the Garden,Glow up
Soft / Comfort,U2,Healing in the Doubt,Rainy window vibes
Recovery (NA),Johnny Cash ft. Billie Eilish,Honey City,"New routine, new brain"
Soft / Comfort,Miley Cyrus,Returning in the Mirror,Rainy window vibes
Heartbreak,The Black Keys,Cosmic Doubt,Text-you-never-send energy
Classics & Hits,ABBA,Leaving in the Signal,Radio gold
Soft / Comfort,Kendrick Lamar,Mr Brightside,Gentle reset
Karaoke Bangers,Olivia Rodrigo,Static Secret,Duet bait
Karaoke Bangers,Panic! At The Disco ft. The Clash,Surviving in the Garden,Crowd goes loud
Heartbreak,Alanis Morissette,Black Doubt,I miss you (annoyingly)
Recovery (NA),Maroon 5,Sober,One day at a time
Chill / Indie,U2,Falling in the Wave,Indie sunshine
Soft / Comfort,Metallica,Back In Black,Warm and safe
Karaoke Bangers,Eagles ft. ABBA,Better Sky,Crowd goes loud
Heartbreak,NF,Violet Ghost,Sad but pretty
Party / Hype,John Mayer,Waiting in the Light,Glitter chaos
Classics & Hits,Lord Huron ft. Kendrick Lamar,Shape of You,Golden-era groove
Soft / Comfort,Chris Stapleton,Holding in the Light,Quiet hope
Karaoke Bangers,Dua Lipa,Drifting in the Satellite,Duet bait
Heartbreak,Journey,Black Room,Late-night spiral
Classics & Hits,Hozier,Better Sky,Classic closer
Classics & Hits,James Arthur,Holding in the Wave,Classic closer
3AM / Existential,OneRepublic,Midnight Grief,Existential sparkle
3AM / Existential,Zach Bryan,Forgiving in the Wave,Brain won’t shut up
Classics & Hits,Kanye West,Fix You,Instant mood lift
Millennial Nostalgia,ABBA,Violet Wave,Throwback serotonin
Millennial Nostalgia,Harry Styles,Rising in the Room,2000s core memory
Recovery (NA),Daft Punk,Dancing in the Room,Step work mood
3AM / Existential,Portugal. The Man,Forgiving in the Ocean,Sad-girl museum energy — 3PM brain on overtime
Recovery (NA),Nirvana ft. Natasha Bedingfield,Waiting in the Room,Sponsor call soundtrack
Karaoke Bangers,U2 ft. Phil Collins,Midnight Wave,Belting required
Millennial Nostalgia,The Script,Electric Satellite,CD-burned playlist energy
Recovery (NA),Missy Elliott ft. Radiohead,Feral Storm,One day at a time — 3PM brain on overtime
Party / Hype,Depeche Mode,Blinding Lights,Energy shot
Chill / Indie,Stevie Wonder,Breathing in the Habit,Coffee-shop indie
Party / Hype,Mumford & Sons,Searching in the Satellite,Bass + bad decisions
Classics & Hits,Bon Jovi ft. NSYNC,Breathing in the Secret,Dinner-party safe pick
Soft / Comfort,J. Cole,Silver Heart,Low-stim serenity
Karaoke Bangers,Missy Elliott ft. Radiohead,Better Signal,Duet bait
Recovery (NA),Sufjan Stevens ft. Harry Styles,Searching in the Wave,Step work mood
Party / Hype,Nirvana ft. Natasha Bedingfield,Electric Ocean,Glitter chaos
Party / Hype,Kelly Clarkson,All The Small Things,Weekend mode
Millennial Nostalgia,Christina Aguilera,Before He Cheats,CD-burned playlist energy
Millennial Nostalgia,Daft Punk,Crying in the Doubt,Old hoodie comfort
